Actual,Predicted_Probability,Predicted_Label,Risk_Level,Top_Features
1,0.7502715045968087,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, PaymentMethod_Electronic check"
0,0.0357553736784273,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, StreamingMovies_Yes, TechSupport_Yes"
1,0.6458740515944684,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, MonthlyCharges, StreamingMovies_Yes"
1,0.6108406300925995,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, MonthlyCharges"
0,0.3311841915041065,0,Low,"InternetService_Fiber optic, Contract_One year, StreamingMovies_Yes, MonthlyCharges, Contract_Two year"
0,0.22025180726758162,0,Low,"tenure, InternetService_Fiber optic, PaperlessBilling_Yes, TechSupport_Yes, Contract_Two year"
0,0.23209609345774007,0,Low,"InternetService_Fiber optic, OnlineSecurity_Yes, Contract_Two year, TechSupport_Yes, MultipleLines_Yes"
0,0.214192347714774,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes, TechSupport_Yes"
0,0.2877121058439886,0,Low,"tenure, TotalCharges_19.5, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
0,0.03556563676158325,0,Low,"Contract_One year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, PaymentMethod_Electronic check"
0,0.24964757076471006,0,Low,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
1,0.5567243026748449,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, PaperlessBilling_Yes"
0,0.1933581513114956,0,Low,"InternetService_Fiber optic, Contract_Two year, PaperlessBilling_Yes, TechSupport_Yes, PaymentMethod_Electronic check"
1,0.23877179279638527,0,Low,"InternetService_Fiber optic, tenure, PaperlessBilling_Yes, TechSupport_Yes, Contract_Two year"
0,0.008984621667719028,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
1,0.5555671254719059,1,Medium,"InternetService_Fiber optic, StreamingMovies_Yes, Contract_Two year, MonthlyCharges, PaymentMethod_Electronic check"
1,0.14109593447998428,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, StreamingMovies_Yes"
1,0.219489898236917,0,Low,"InternetService_Fiber optic, tenure, TotalCharges_858.6, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.028132676332794048,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, PaperlessBilling_Yes"
0,0.014100318980995164,0,Low,"Contract_Two year, InternetService_Fiber optic, tenure, MonthlyCharges, PaperlessBilling_Yes"
0,0.38300641070322883,0,Low,"InternetService_Fiber optic, tenure, Contract_Two year, PaymentMethod_Electronic check, TechSupport_Yes"
0,0.12927824866889837,0,Low,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.7131579950840032,1,High,"InternetService_Fiber optic, tenure, Contract_Two year, MultipleLines_Yes, StreamingTV_Yes"
0,0.08091116135280847,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes"
0,0.004329351697685051,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.011602290630137206,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
0,0.48873349097785507,0,Medium,"InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaperlessBilling_Yes, MultipleLines_Yes"
0,0.15215710182741124,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
1,0.8088849158432992,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.017533618981404972,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.47794250732618393,0,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, PaperlessBilling_Yes, PaymentMethod_Electronic check"
1,0.6895819239508039,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, MultipleLines_Yes"
0,0.027563860342422475,0,Low,"InternetService_Fiber optic, Contract_One year, MonthlyCharges, TotalCharges_683.25, tenure"
0,0.025166420823469086,0,Low,"Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, MultipleLines_Yes"
0,0.19894200363573816,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, Contract_Two year, PaperlessBilling_Yes"
1,0.5494405464955734,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, PaymentMethod_Electronic check, StreamingMovies_Yes"
0,0.007399794696196129,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.016992528581793565,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.3658281003620004,0,Low,"InternetService_Fiber optic, Contract_Two year, TechSupport_Yes, MultipleLines_Yes, tenure"
0,0.036583478046133364,0,Low,"Contract_One year, InternetService_Fiber optic, tenure, OnlineSecurity_Yes, PaperlessBilling_Yes"
1,0.4958292394660068,0,Medium,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, Contract_Two year, StreamingTV_Yes"
0,0.05373993612219606,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingTV_Yes"
0,0.10623671527356957,0,Low,"InternetService_Fiber optic, tenure, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
0,0.49295754420522364,0,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingTV_Yes, MultipleLines_Yes"
0,0.06662106495848936,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
0,0.207577686317907,0,Low,"tenure, InternetService_Fiber optic, Contract_Two year, TechSupport_Yes, PaymentMethod_Electronic check"
0,0.011190558895916596,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.3171387511661176,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, MonthlyCharges, StreamingMovies_Yes"
0,0.2856643552205419,0,Low,"InternetService_Fiber optic, Contract_Two year, TechSupport_Yes, StreamingTV_Yes, MultipleLines_No phone service"
0,0.00507547534595235,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.06559640141589787,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, StreamingMovies_Yes, TechSupport_Yes"
0,0.035267519553019176,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes, TechSupport_Yes"
0,0.030188991767907146,0,Low,"Contract_Two year, InternetService_Fiber optic, tenure, MonthlyCharges, PaperlessBilling_Yes"
1,0.5481144321013376,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, PaperlessBilling_Yes, PaymentMethod_Electronic check"
0,0.17458900414244757,0,Low,"InternetService_Fiber optic, tenure, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.3193153988601864,0,Low,"TotalCharges_19.45, tenure, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
1,0.5868743738892551,1,Medium,"tenure, InternetService_Fiber optic, TotalCharges_522.95, Contract_Two year, PaymentMethod_Electronic check"
1,0.5966702545938495,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.004934246064180955,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
1,0.6516426481329686,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, StreamingTV_Yes"
0,0.11202600341862654,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, Contract_Two year, MonthlyCharges"
1,0.5869060147699801,1,Medium,"InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, MonthlyCharges, MultipleLines_Yes"
1,0.5919799098976954,1,Medium,"InternetService_Fiber optic, tenure, MonthlyCharges, Contract_Two year, StreamingMovies_Yes"
1,0.7969340801387763,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, MonthlyCharges"
0,0.13579157374325176,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
0,0.24993673717443524,0,Low,"tenure, InternetService_Fiber optic, StreamingMovies_Yes, Contract_Two year, PaperlessBilling_Yes"
1,0.27844512518884046,0,Low,"InternetService_Fiber optic, Contract_One year, tenure, Contract_Two year, StreamingTV_Yes"
0,0.05874934177213808,0,Low,"InternetService_Fiber optic, tenure, Contract_One year, MonthlyCharges, PaperlessBilling_Yes"
0,0.056877990855311485,0,Low,"Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes, TechSupport_Yes"
1,0.5745084485551133,1,Medium,"InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, PaymentMethod_Electronic check, tenure"
1,0.32589975865587517,0,Low,"tenure, InternetService_Fiber optic, StreamingMovies_Yes, Contract_Two year, MonthlyCharges"
0,0.04971172225817833,0,Low,"Contract_One year, InternetService_Fiber optic, tenure, MonthlyCharges, MultipleLines_Yes"
1,0.6195591345973476,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, OnlineSecurity_Yes"
0,0.6554094633236284,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, Contract_One year"
0,0.011629539011119365,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaymentMethod_Electronic check"
0,0.11420437930018873,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
0,0.12560600320183998,0,Low,"InternetService_Fiber optic, Contract_One year, OnlineSecurity_Yes, Contract_Two year, StreamingTV_Yes"
0,0.44683794477934163,0,Medium,"InternetService_Fiber optic, MonthlyCharges, Contract_Two year, tenure, MultipleLines_Yes"
0,0.018373247876060695,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.009030392917201039,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.05076799812909195,0,Low,"InternetService_Fiber optic, MonthlyCharges, tenure, PaperlessBilling_Yes, PaymentMethod_Electronic check"
0,0.07285915610477692,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.6847399291764211,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, PaymentMethod_Electronic check"
0,0.6010024929715977,1,Medium,"InternetService_Fiber optic, tenure, MonthlyCharges, Contract_Two year, StreamingMovies_Yes"
0,0.3675332213637462,0,Low,"InternetService_Fiber optic, Contract_Two year, MonthlyCharges, PaperlessBilling_Yes, tenure"
0,0.1244065646828379,0,Low,"tenure, InternetService_Fiber optic, PaperlessBilling_Yes, TechSupport_Yes, Contract_Two year"
0,0.059435443973665736,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, OnlineSecurity_Yes, MonthlyCharges"
1,0.7738467968496697,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, PaymentMethod_Electronic check"
0,0.0736334836692054,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, OnlineSecurity_Yes"
0,0.00604691476614046,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.47027736781575685,0,Medium,"tenure, InternetService_Fiber optic, StreamingMovies_Yes, Contract_Two year, StreamingTV_Yes"
0,0.6477916224872485,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, StreamingMovies_Yes"
0,0.5154980773228386,1,Medium,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, Contract_Two year, PaperlessBilling_Yes"
0,0.007593532299558793,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
0,0.008757543989630374,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, MonthlyCharges"
1,0.7306671873733581,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
1,0.2780256145825355,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, Contract_Two year, TechSupport_Yes"
0,0.027243704075885545,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.05711808673020013,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, OnlineSecurity_Yes"
0,0.015339791975110728,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
0,0.023908331237606526,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, StreamingMovies_Yes, OnlineSecurity_Yes"
1,0.3929827046745686,0,Low,"tenure, TotalCharges_19.9, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
0,0.035122757269614786,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, MultipleLines_Yes"
0,0.025137526484624813,0,Low,"Contract_One year, InternetService_Fiber optic, tenure, MonthlyCharges, PaperlessBilling_Yes"
0,0.09659013481708056,0,Low,"Contract_One year, InternetService_Fiber optic, tenure, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.7712071777031464,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, StreamingTV_Yes"
0,0.06319235567778558,0,Low,"Contract_One year, InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes, TechSupport_Yes"
0,0.029693499486736358,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes"
1,0.7420973772737048,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, MultipleLines_Yes, PaymentMethod_Electronic check"
0,0.09523243532914308,0,Low,"InternetService_Fiber optic, OnlineSecurity_Yes, PaperlessBilling_Yes, TechSupport_Yes, PaymentMethod_Electronic check"
1,0.7418995684211228,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.004331209658521772,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.5045939317647564,1,Medium,"InternetService_Fiber optic, tenure, OnlineSecurity_Yes, Contract_Two year, MultipleLines_Yes"
0,0.0098347514351046,0,Low,"Contract_Two year, tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.005380742794147907,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes"
0,0.005636771242421015,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, MultipleLines_Yes"
1,0.5662533147318138,1,Medium,"tenure, InternetService_Fiber optic, TotalCharges_25.05, Contract_Two year, MonthlyCharges"
1,0.5400658191041698,1,Medium,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, Contract_Two year"
1,0.810725675143009,1,High,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, MultipleLines_Yes"
0,0.09138221533225482,0,Low,"Contract_One year, InternetService_Fiber optic, tenure, MultipleLines_Yes, Contract_Two year"
1,0.5327032057748151,1,Medium,"TotalCharges_19.45, tenure, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
0,0.023930174313660575,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes"
0,0.07610217279425156,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MonthlyCharges, StreamingMovies_Yes"
0,0.04830129944190147,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, PaperlessBilling_Yes, Contract_Two year"
0,0.3330456735109636,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, StreamingMovies_Yes"
0,0.2024605361404313,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes, Contract_Two year"
1,0.589512323138741,1,Medium,"InternetService_Fiber optic, Contract_Two year, MonthlyCharges, StreamingMovies_Yes, MultipleLines_Yes"
0,0.01624304561885454,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, TechSupport_Yes"
0,0.08624751651953617,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, OnlineSecurity_Yes, PaperlessBilling_Yes"
0,0.007865849658650179,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, OnlineSecurity_Yes, MultipleLines_Yes"
0,0.642469293412699,1,Medium,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, PaperlessBilling_Yes"
0,0.07415597983407744,0,Low,"tenure, InternetService_Fiber optic, Contract_One year, MonthlyCharges, OnlineSecurity_Yes"
0,0.020852570998220913,0,Low,"tenure, Contract_One year, InternetService_Fiber optic, StreamingMovies_Yes, OnlineSecurity_Yes"
0,0.23316111867019804,0,Low,"tenure, TotalCharges_20.05, InternetService_Fiber optic, MonthlyCharges, Contract_Two year"
0,0.18353293723793898,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, Contract_Two year, PaymentMethod_Electronic check"
1,0.1551787479345843,0,Low,"tenure, InternetService_Fiber optic, MonthlyCharges, PaperlessBilling_Yes, Contract_Two year"
0,0.22132171974449136,0,Low,"tenure, InternetService_Fiber optic, Contract_Two year, PaymentMethod_Electronic check, MultipleLines_Yes"
0,0.24366805189329838,0,Low,"tenure, InternetService_Fiber optic, OnlineSecurity_Yes, StreamingMovies_Yes, TechSupport_Yes"
1,0.6426044443057431,1,Medium,"InternetService_Fiber optic, tenure, Contract_Two year, PaymentMethod_Electronic check, StreamingTV_Yes"
0,0.10425722239769185,0,Low,"InternetService_Fiber optic, MonthlyCharges, Contract_Two year, StreamingMovies_Yes, PaymentMethod_Electronic check"
0,0.007927623911524372,0,Low,"tenure, Contract_Two year, InternetService_Fiber optic, MultipleLines_Yes, MonthlyCharges"
